1 s a t u
2 d u a 
3 t i g a
4 ə m p a t
5 l i m a
6 ə n a m
7 t u d ʒ u h
8 d ə l a p a n
9 s ə m b i l a n
10 s ə p u l u h
11 s ə b ə l a s
21 d u a p u l u h s a t u
29 d u a p u l u h s ə m b i l a n
30 t i g a p u l u h
100 s ə r a t u s
15 l i m a b ə l a s
1879 d ə l a p a n b ə l a s t u d ʒ u h p u l u h s ə m b i l a n
aérogram	a e r o g r a m 
aérologi	a e r o l o g i 
aérométer	a e r o m e t ə r 
aéromovél	a e r o m o v e l 
aéronautika	a e r o n a u t i k a 
aéronautik	a e r o n a u t i ʔ 
aéroskop	a e r o s k o p 
aérosol	a e r o s o l 
aérostatika	a e r o s t a t i k a 
afal	a f a l 
afdal	a f d a l 
afdéling	a f d e l i ŋ 
afdruk	a f d r u ʔ 
afék	a f e ʔ 
aféksi	a f e ʔ s i 
aféktif	a f e ʔ t i f 
afiat	a f i a t 
afiks	a f i ʔ s 
afiksasi	a f i ʔ s a s i 
afiliasi	a f i l i a s i 
afinitas	a f i n i t a s 
afirmasi	a f i r m a s i 
afirmatif	a f i r m a t i f 
afrikat	a f r i k a t 
afrit	a f r i t 
afrodisiak	a f r o d i s i a ʔ 
afsun	a f s u n 
afwah	a f w a h 
aga	a g a 
agah	a g a h 
agak	a g a ʔ 
agaknya	a g a ʔ ɲ a 
agal	a g a l 
agama	a g a m a 
agam	a g a m 
agamaku	a g a m a k u 
agamanya	a g a m a ɲ a 
agamawan	a g a m a w a n 
agamawi	a g a m a w i 
agami	a g a m i 
agan	a g a n 
agar	a g a r 
agas	a g a s 
agén	a g e n 
agénda	a g e n d a 
agénsi	a g e n s i 
agih	a g i h 
agihan	a g i h a n 
agio	a g i o 
agitasi	a g i t a s i 
agitator	a g i t a t o r 
aglutinasi	a g l u t i n a s i 
agnostik	a g n o s t i ʔ 
agnostisisme	a g n o s t i s i s m ə 
a-go-go	a - g o - g o 
ago-go	a g o - g o 
agraria	a g r a r i a 
agraris	a g r a r i s 
agrégasi	a g r e g a s i 
agrégat	a g r e g a t 
agrési	a g r e s i 
agrésif	a g r e s i f 
agrésivitas	a g r e s i v i t a s 
agrésor	a g r e s o r 
agroindustri	a g r o i n d u s t r i 
agronomi	a g r o n o m i 
aguk	a g u ʔ 
agul	a g u l 
agun	a g u n 
agunan	a g u n a n 
agung	a g u ŋ 
agus	a g u s 
agut	a g u t 
a’had	a ʔ h a d 
ahad	a h a d 
ahadiat	a h a d i a t 
ah	a h 
ahimsa	a h i m s a 
ahkam	a h k a m 
ahli	a h l i 
ahlulbait	a h l u l b a i t 
ahlulkitab	a h l u l k i t a b 
ahlulkubur	a h l u l k u b u r 
ahmad	a h m a d 
ahmak	a h m a ʔ 
ahmar	a h m a r 
aho	a h o 
ahwal	a h w a l 
ai	a  i  
ai	a i 
aib	a i b 
aidilfitri	a i d i l f i t r i 
ain	a i n 
ainulbanat	a i n u l b a n a t 
air	a i r 
airi	a i r i 
airmata	a i r m a t a 
airnya	a i r ɲ a 
ais	a i s 
aja	a d ʒ a 
ajab	a d ʒ a b 
ajaib	a d ʒ a i b 
ajak	a d ʒ a ʔ 
ajakan	a d ʒ a k a n 
ajal	a d ʒ a l 
ajang	a d ʒ a ŋ 
ajar	a d ʒ a r 
ajaran	a d ʒ a r a n 
ajaranmu	a d ʒ a r a n m u 
ajari	a d ʒ a r i 
ajek	a d ʒ ə ʔ 
ajengan	a d ʒ ə ŋ a n 
aji	a d ʒ i 
ajir	a d ʒ i r 
ajnabi	a d ʒ n a b i 
ajnas	a d ʒ n a s 
ajojing	a d ʒ o d ʒ i ŋ 
aju	a d ʒ u 
ajuan	a d ʒ u a n 
ajudan	a d ʒ u d a n 
ajujah	a d ʒ u d ʒ a h 
ajuk	a d ʒ u ʔ 
ajukan	a d ʒ u k a n 
ajun	a d ʒ u n 
ajur	a d ʒ u r 
akad	a k a d 
akadémi	a k a d e m i 
akadémik	a k a d e m i ʔ 
akadémikus	a k a d e m i k u s 
akadémis	a k a d e m i s 
akadémisi	a k a d e m i s i 
akaid	a k a i d 
ak-ak	a k - a ʔ 
akak	a k a ʔ 
akal	a k a l 
akalnya	a k a l ɲ a 
akan	a k a n 
akanan	a k a n a n 
akang	a k a ŋ 
akar	a k a r 
akas	a k a s 
akasia	a k a s i a 
akaun	a k a u n 
akbar	a ʔ b a r 
akhbar	a ʔ h b a r 
akhir	a ʔ h i r 
akhir-akhir	a ʔ h i r a ʔ h i r 
akhiran	a ʔ h i r a n 
akhirat	a ʔ h i r a t 
akhirnya	a ʔ h i r ɲ a 
akhirulkalam	a ʔ h i r u l k a l a m 
akhlak	a ʔ h l a ʔ 
akhtaj	a ʔ h t a d ʒ 
akhwat	a ʔ h w a t 
aki	a k i 
akibat	a k i b a t 
akibatnya	a k i b a t ɲ a 
akidah	a k i d a h 
akikah	a k i k a h 
akik	a k i ʔ 
akil	a k i l 
aklamasi	a ʔ l a m a s i 
akliah	a ʔ l i a h 
aklimatisasi	a ʔ l i m a t i s a s i 
akmal	a ʔ m a l 
akomodasi	a k o m o d a s i 
akomodatif	a k o m o d a t i f 
akor	a k o r 
akordéon	a k o r d e o n 
akrab	a ʔ r a b 
akrabnya	a ʔ r a b ɲ a 
akréditasi	a ʔ r e d i t a s i 
akrilik	a ʔ r i l i ʔ 
akrobat	a ʔ r o b a t 
akrobatik	a ʔ r o b a t i ʔ 
akronim	a ʔ r o n i m 
aksa	a ʔ s a 
aksara	a ʔ s a r a 
aksarawan	a ʔ s a r a w a n 
aksarawati	a ʔ s a r a w a t i 
aksélerasi	a ʔ s e l ə r a s i 
aksélerator	a ʔ s e l ə r a t o r 
aksén	a ʔ s e n 
akséntuasi	a ʔ s e n t u a s i 
aksép	a ʔ s e p 
akséptabel	a ʔ s e p t a b ə l 
akséptasi	a ʔ s e p t a s i 
akséptor	a ʔ s e p t o r 
aksés	a ʔ s e s 
aksésibilitas	a ʔ s e s i b i l i t a s 
aksi	a ʔ s i 
aksidéntal	a ʔ s i d e n t a l 
aksioma	a ʔ s i o m a 
aksiomatis	a ʔ s i o m a t i s 
aksis	a ʔ s i s 
akson	a ʔ s o n 
akta	a ʔ t a 
aktentas	a ʔ t ə n t a s 
aktif	a ʔ t i f 
aktiva	a ʔ t i v a 
aktivis	a ʔ t i v i s 
aktivitas	a ʔ t i v i t a s 
aktor	a ʔ t o r 
aktris	a ʔ t r i s 
aktual	a ʔ t u a l 
aktualisasi	a ʔ t u a l i s a s i 
aktuaria	a ʔ t u a r i a 
aktuaris	a ʔ t u a r i s 
akuadés	a k u a d e s 
akuaduk	a k u a d u ʔ 
aku	a k u 
akuakultur	a k u a k u l t u r 
akuan	a k u a n 
akuarél	a k u a r e l 
akuarium	a k u a r i u m 
akui	a k u i 
akuifér	a k u i f e r 
akuisisi	a k u i s i s i 
akuk	a k u ʔ 
akulah	a k u l a h 
akulturasi	a k u l t u r a s i 
akumulasi	a k u m u l a s i 
akumulatif	a k u m u l a t i f 
akumulator	a k u m u l a t o r 
akun	a k u n 
akuntan	a k u n t a n 
akuntansi	a k u n t a n s i 
akupunktur	a k u p u n ʔ t u r 
akupunkturis	a k u p u n ʔ t u r i s 
akur	a k u r 
akurasi	a k u r a s i 
akurat	a k u r a t 
akusatif	a k u s a t i f 
akustika	a k u s t i k a 
akustik	a k u s t i ʔ 
akut	a k u t 
akwal	a ʔ w a l 
ala	a l a 
alabangka	a l a b a ŋ k a 
alabio	a l a b i o 
alaf	a l a f 
alah	a l a h 
alahan	a l a h a n 
alai	a l a i 
alaihi	a l a i h i 
alaika	a l a i k a 
alaikum	a l a i k u m 
alak	a l a ʔ 
al	a l 
alamak	a l a m a ʔ 
alam	a l a m 
alamanda	a l a m a n d a 
alamas	a l a m a s 
alamat	a l a m a t 
alamatulhayat	a l a m a t u l h a j a t 
alamiah	a l a m i a h 
alami	a l a m i 
alamin	a l a m i n 
alamnya	a l a m ɲ a 
alan	a l a n 
alang	a l a ŋ 
alangan	a l a ŋ a n 
alangkah	a l a ŋ k a h 
alap	a l a p 
alarm	a l a r m 
alas	a l a s 
alasan	a l a s a n 
alat	a l a t 
alau	a l a u 
albas	a l b a s 
albino	a l b i n o 
album	a l b u m 
albumén	a l b u m e n 
alégori	a l e g o r i 
alégoris	a l e g o r i s 
alem	a l ə m 
aleman	a l ə m a n 
alérgén	a l e r g e n 
alérgi	a l e r g i 
alérgis	a l e r g i s 
alfa	a l f a 
alfabét	a l f a b e t 
alfabétis	a l f a b e t i s 
alf	a l f 
alfu	a l f u 
alga	a l g a 
algojo	a l g o d ʒ o 
algoritma	a l g o r i t m a 
algoritme	a l g o r i t m ə 
alhamdulillah	a l h a m d u l i l l a h 
alhasil	a l h a s i l 
aliah	a l i a h 
ali	a l i 
aliansi	a l i a n s i 
alias	a l i a s 
alibi	a l i b i 
aliénasi	a l i e n a s i 
alif	a l i f 
alif-ba-ta	a l i f - b a - t a 
alifbata	a l i f b a t a 
alih	a l i h 
alihan	a l i h a n 
alik	a l i ʔ 
alim	a l i m 
alimbubu	a l i m b u b u 
aliméntasi	a l i m e n t a s i 
alimiah	a l i m i a h 
alimiat	a l i m i a t 
alin	a l i n 
alinéa	a l i n e a 
aling	a l i ŋ 
alingan	a l i ŋ a n 
alip	a l i p 
alir	a l i r 
aliran	a l i r a n 
alis	a l i s 
alit	a l i t 
aliterasi	a l i t ə r a s i 
aljabar	a l d ʒ a b a r 
alkah	a l k a h 
alkali	a l k a l i 
alkaloid	a l k a l o i d 
alkamar	a l k a m a r 
alkari	a l k a r i 
alkasyaf	a l k a s j a f 
alkausar	a l k a u s a r 
alkéna	a l k e n a 
alkisah	a l k i s a h 
alkohol	a l k o h o l 
alkoholisme	a l k o h o l i s m ə 
alku	a l k u 
allah	a l l a h 
almalun	a l m a l u n 
almamatér	a l m a m a t e r 
almanak	a l m a n a ʔ 
almarhumah	a l m a r h u m a h 
almarhum	a l m a r h u m 
almari	a l m a r i 
almuazam	a l m u a z a m 
almukhlis	a l m u ʔ h l i s 
alofon	a l o f o n 
alokasi	a l o k a s i 
alomorf	a l o m o r f 
alon	a l o n 
alot	a l o t 
alpa	a l p a 
alpaka	a l p a k a 
alpérés	a l p e r e s 
alpukah	a l p u k a h 
altar	a l t a r 
